city,cause,year,adthnum,adrate
'birm','death',2000,6461,0.009759126
'bost','death',1987,5221,0.007568784
'bost','death',1988,5349,0.007754343
'bost','death',1989,5078,0.007361479
'bost','death',1990,4940,0.007161423
'bost','death',1991,4865,0.007052697
'bost','death',1992,4974,0.007210713
'bost','death',1993,5090,0.007378876
'bost','death',1994,4751,0.006887434
'bost','death',1995,4735,0.006864239
'bost','death',1996,4558,0.006607645
'bost','death',1997,4469,0.006478624
'bost','death',1998,4413,0.006397442
'bost','death',1999,4512,0.00654096
'bost','death',2000,4499,0.006522114
'buff','death',1987,9393,0.009884611
'buff','death',1988,9515,0.010012996
'buff','death',1989,9173,0.009653097
'buff','death',1990,9334,0.009822523
'buff','death',1991,9500,0.009997211
'buff','death',1992,9276,0.009761488
'buff','death',1993,9385,0.009876192
'buff','death',1994,9366,0.009856198
'buff','death',1995,9410,0.009902501
'buff','death',1996,9282,0.009767802
'buff','death',1997,9265,0.009749912
'buff','death',1998,9200,0.00968151
'buff','death',1999,9211,0.009693086
'buff','death',2000,9275,0.009760435
'cayc','death',1987,1238,0.00573111
'cayc','death',1988,1228,0.005684817
'cayc','death',1989,1251,0.005791291
'cayc','death',1990,1264,0.005851473
'cayc','death',1991,1280,0.005925542
'cayc','death',1992,1277,0.005911654
'cayc','death',1993,1314,0.006082939
'cayc','death',1994,1327,0.00614312
'cayc','death',1995,1450,0.006712528
'cayc','death',1996,1427,0.006606053
'cayc','death',1997,1454,0.006731045
'cayc','death',1998,1525,0.007059728
'cayc','death',1999,1530,0.007082874
'cayc','death',2000,1604,0.007425445
'cdrp','death',1987,1917,0.009999948
'cdrp','death',1988,1971,0.010281637
'cdrp','death',1989,1942,0.010130359
'cdrp','death',1990,1987,0.0103651
'cdrp','death',1991,1976,0.010307719
'cdrp','death',1992,2023,0.010552892
'cdrp','death',1993,2023,0.010552892
'cdrp','death',1994,2016,0.010516377
'cdrp','death',1995,2022,0.010547676
'cdrp','death',1996,2044,0.010662438
'cdrp','death',1997,2043,0.010657221
'cdrp','death',1998,2050,0.010693737
'cdrp','death',1999,2083,0.01086588
'cdrp','death',2000,2086,0.010881529
'char','death',1987,3150,0.004529415
'char','death',1988,3268,0.004699089
'char','death',1989,3209,0.004614252
'char','death',1990,3284,0.004722095
'char','death',1991,3458,0.004972291
'char','death',1992,3551,0.005106017
'char','death',1993,3635,0.005226801
'char','death',1994,3745,0.005384972
'char','death',1995,3811,0.005479874
'char','death',1996,3910,0.005622227
'char','death',1997,3790,0.005449677
'char','death',1998,3882,0.005581965
'char','death',1999,3978,0.005720004
'char','death',2000,4143,0.00595726
'chic','death',1987,42583,0.007919853
'chic','death',1988,43469,0.008084637
'chic','death',1989,42981,0.007993876
'chic','death',1990,42313,0.007869637
'chic','death',1991,42640,0.007930455
'chic','death',1992,41714,0.007758231
'chic','death',1993,43449,0.008080917
'chic','death',1994,42937,0.007985692
'chic','death',1995,43806,0.008147315
'chic','death',1996,41784,0.00777125
'chic','death',1997,40340,0.007502686
'chic','death',1998,40101,0.007458235
'chic','death',1999,41776,0.007769762
'chic','death',2000,40359,0.00750622
'cinc','death',1987,7378,0.008697364
'cinc','death',1988,7679,0.00905219
'cinc','death',1989,7423,0.008750411
'cinc','death',1990,7400,0.008723298
'cinc','death',1991,7291,0.008594806
'cinc','death',1992,7414,0.008739802
'cinc','death',1993,7625,0.008988534
'cinc','death',1994,7582,0.008937844
'cinc','death',1995,7763,0.009151211
'cinc','death',1996,7636,0.009001501
'cinc','death',1997,7575,0.008929592
'cinc','death',1998,7370,0.008687933
'cinc','death',1999,7620,0.008982639
'cinc','death',2000,7578,0.008933129
'clev','death',1987,13714,0.009838032
'clev','death',1988,13905,0.00997505
'clev','death',1989,13674,0.009809337
'clev','death',1990,13622,0.009772034
'clev','death',1991,13480,0.009670167
'clev','death',1992,13266,0.009516649
'clev','death',1993,13809,0.009906182
'clev','death',1994,13850,0.009935594
'clev','death',1995,14015,0.010053961
'clev','death',1996,13575,0.009738317
'clev','death',1997,13694,0.009823684
'clev','death',1998,13413,0.009622103
'clev','death',1999,13554,0.009723252
'clev','death',2000,13767,0.009876053
'clmg','death',1987,1934,0.010381607
'clmg','death',1988,1924,0.010327928
'clmg','death',1989,1912,0.010263512
'clmg','death',1990,1996,0.01071442
'clmg','death',1991,1983,0.010644637
'clmg','death',1992,1982,0.010639269
'clmg','death',1993,1977,0.010612429
'clmg','death',1994,2021,0.010848619
'clmg','death',1995,2010,0.010789571
'clmg','death',1996,2056,0.011036497
'clmg','death',1997,2071,0.011117016
'clmg','death',1998,2051,0.011009657
'clmg','death',1999,2099,0.011267318
'clmg','death',2000,2098,0.01126195
'clmo','death',1987,6416,0.006001994
'clmo','death',1988,6361,0.005950543
'clmo','death',1989,6348,0.005938382
'clmo','death',1990,6374,0.005962705
'clmo','death',1991,6547,0.006124541
'clmo','death',1992,6576,0.00615167
'clmo','death',1993,6514,0.006093671
'clmo','death',1994,6989,0.00653802
'clmo','death',1995,7122,0.006662438
'clmo','death',1996,7252,0.00678405
'clmo','death',1997,7039,0.006584794
'clmo','death',1998,7224,0.006757857
'clmo','death',1999,7398,0.006920629
'clmo','death',2000,7322,0.006849533
'colo','death',1987,2191,0.004238493
'colo','death',1988,2176,0.004209476
'colo','death',1989,2266,0.004383581
'colo','death',1990,2198,0.004252035
'colo','death',1991,2328,0.00450352
'colo','death',1992,2306,0.004460961
'colo','death',1993,2350,0.004546079
'colo','death',1994,2374,0.004592507
'colo','death',1995,2474,0.004785957
'colo','death',1996,2604,0.005037442
'colo','death',1997,2623,0.005074198
'colo','death',1998,2674,0.005172857
'colo','death',1999,2765,0.005348897
'colo','death',2000,2830,0.00547464
'corp','death',1987,1936,0.006172584
'corp','death',1988,1984,0.006325623
'corp','death',1989,2007,0.006398954
'corp','death',1990,2048,0.006529675
'corp','death',1991,1969,0.006277798
'corp','death',1992,2004,0.006389389
'corp','death',1993,2164,0.00689952
'corp','death',1994,2141,0.006826189
'corp','death',1995,2187,0.006972851
'corp','death',1996,2287,0.007291683
'corp','death',1997,2323,0.007406463
'corp','death',1998,2203,0.007023865
'corp','death',1999,2338,0.007454287
'corp','death',2000,2413,0.007693411
'covt','death',1987,2364,0.014148064
'covt','death',1988,2371,0.014189958
'covt','death',1989,2472,0.014794422
'covt','death',1990,2340,0.014004429
'covt','death',1991,2340,0.014004429
'covt','death',1992,2385,0.014273745
'covt','death',1993,2349,0.014058292
'covt','death',1994,2447,0.014644802
'covt','death',1995,2453,0.014680711
